Date;1U1.DE;BC8.DE;COK.DE;EMMNZ.XC;IMPN.SW;MOZNZ.XC;NDX1.DE;NEM.DE;PNE3.DE;SMHN.DE;UTDI.DE
2025-01-02;11.842453002929688;30.78348159790039;22.701913833618164;717.5140991210938;;9.604521751403809;11.75;94.16749572753906;11.140504837036133;49.51298141479492;15.329999923706055
2025-01-03;11.76270580291748;30.07626724243164;22.605392456054688;727.3028564453125;30.79020881652832;9.927130699157715;11.899999618530273;93.32138061523438;11.259866714477539;49.81065368652344;15.069999694824219
2025-01-06;11.822515487670898;30.331647872924805;22.9721736907959;724.3662109375;31.03496551513672;10.028521537780762;11.930000305175781;95.66063690185547;11.339442253112793;52.58893585205078;15.270000457763672
2025-01-07;12.121567726135254;30.39058494567871;23.22313117980957;730.2394409179688;31.23076820373535;9.954782485961914;11.880000114440918;95.1131591796875;11.379229545593262;45.29594421386719;15.399999618530273
2025-01-08;12.121567726135254;30.39058494567871;22.663305282592773;721.4295654296875;30.00699234008789;9.78886890411377;11.880000114440918;95.71041107177734;11.379229545593262;45.29594421386719;15.029999732971191
2025-01-09;11.882326126098633;29.074378967285156;22.33513069152832;716.5352172851562;30.104894638061523;9.733565330505371;11.1899995803833;95.90949249267578;11.697529792785645;42.46804428100586;14.970000267028809
2025-01-10;11.643085479736328;29.60478973388672;22.489564895629883;709.68310546875;29.713285446166992;9.457043647766113;11.279999732971191;97.45240783691406;11.617955207824707;41.674251556396484;14.920000076293945
2025-01-13;11.304160118103027;30.115554809570312;22.29652214050293;694.0211181640625;29.66433334350586;9.567651748657227;11.609999656677246;94.16749572753906;11.67763614654541;40.384334564208984;14.710000038146973
2025-01-14;11.064918518066406;29.074378967285156;22.006956100463867;695.0;28.930068969726562;9.613739013671875;11.869999885559082;93.52046203613281;11.717423439025879;39.49131393432617;14.789999961853027
2025-01-15;11.284222602844238;30.115554809570312;22.875654220581055;709.68310546875;29.027971267700195;9.917912483215332;12.479999542236328;97.7012710571289;12.015830039978027;40.13627243041992;15.1899995803833
2025-01-16;11.483591079711914;30.194135665893555;23.30034828186035;712.6197509765625;28.881118774414062;9.770434379577637;12.069999694824219;97.95012664794922;11.936254501342773;40.63239669799805;15.199999809265137
2025-01-17;11.443717002868652;30.70490074157715;23.30034828186035;716.5352172851562;29.811189651489258;9.8994779586792;12.069999694824219;97.95012664794922;12.075511932373047;48.917633056640625;15.380000114440918
2025-01-20;11.483591079711914;30.587032318115234;23.30034828186035;727.792236328125;29.811189651489258;10.08382511138916;12.069999694824219;97.95012664794922;12.055617332458496;47.032371520996094;15.380000114440918
2025-01-21;11.483591079711914;30.587032318115234;23.30034828186035;732.1972045898438;30.055944442749023;10.194435119628906;12.069999694824219;97.95012664794922;12.055617332458496;47.032371520996094;15.380000114440918
2025-01-22;11.264286041259766;30.115554809570312;23.35826301574707;732.1972045898438;30.692306518554688;10.295825958251953;11.40999984741211;112.4833755493164;11.936254501342773;48.02461242675781;15.0600004196167
2025-01-23;11.144665718078613;29.82088279724121;23.242435455322266;730.2394409179688;30.594404220581055;10.360347747802734;11.65999984741211;111.78657531738281;11.916360855102539;47.28042984008789;15.100000381469727
2025-01-24;11.144665718078613;29.82088279724121;23.242435455322266;768.41552734375;30.251747131347656;10.489391326904297;11.65999984741211;111.78657531738281;11.916360855102539;47.28042984008789;15.100000381469727
2025-01-27;11.40384292602539;30.15484619140625;23.1073055267334;771.3521118164062;30.104894638061523;10.544694900512695;11.460000038146973;113.18016815185547;11.896467208862305;44.899044036865234;15.25
2025-01-28;11.603211402893066;30.94063949584961;24.053218841552734;771.3521118164062;32.16083526611328;10.673738479614258;10.8100004196167;114.87240600585938;12.035723686218262;42.46804428100586;15.699999809265137
2025-01-29;11.663021087646484;30.901348114013672;23.43548011779785;772.3309936523438;33.384613037109375;10.397216796875;11.0;115.07148742675781;11.995936393737793;42.418434143066406;15.609999656677246
2025-01-30;12.201314926147461;31.25495719909668;24.36208724975586;780.1619873046875;33.92307662963867;10.489391326904297;11.369999885559082;116.16645812988281;12.015830039978027;43.55951690673828;16.299999237060547
2025-01-31;12.181378364562988;31.922882080078125;24.43930435180664;779.18310546875;34.11887741088867;10.489391326904297;11.1899995803833;115.3701171875;12.075511932373047;43.2618408203125;16.209999084472656
2025-02-03;12.001947402954102;31.058509826660156;23.956695556640625;779.18310546875;33.53146743774414;10.489391326904297;10.949999809265137;115.66873931884766;12.035723686218262;42.964168548583984;16.040000915527344
2025-02-04;11.882326126098633;31.01921844482422;23.956695556640625;778.2042236328125;34.60839080810547;10.71060848236084;10.930000305175781;116.96279907226562;11.976042747497559;42.5672721862793;15.920000076293945
2025-02-05;12.021883964538574;31.72643280029297;24.535825729370117;777.225341796875;33.874122619628906;10.784347534179688;11.460000038146973;118.75457000732422;12.095404624938965;43.16261672973633;15.819999694824219
2025-02-06;12.141505241394043;32.02110290527344;24.593738555908203;780.1619873046875;34.26573181152344;10.858086585998535;11.529999732971191;119.45137023925781;12.075511932373047;42.86494445800781;16.350000381469727
2025-02-07;12.201314926147461;30.901348114013672;24.265565872192383;783.0986328125;34.755245208740234;10.784347534179688;11.59000015258789;119.45137023925781;12.015830039978027;41.72386169433594;16.059999465942383
2025-02-10;12.201314926147461;30.901348114013672;24.265565872192383;785.0563354492188;35.48950958251953;11.134608268737793;11.59000015258789;119.45137023925781;12.015830039978027;41.72386169433594;16.059999465942383
